Name,Pitches,Velo,Max_Velo,SpinRate,IVB,HB,RelHeight,Extension,Stuff
Aaron Civale,2002,86.4,94.9,2610.25,3.92,1.22,6.35,5.68,118.96
Alec Marsh,1342,89.1,97.4,2348.78,5.59,-3.85,5.67,6.37,109.02
Alek Manoah,1663,88.32,95.8,2215.1,8.88,-4.31,5.79,6.78,109.9
Alex Cobb,2491,90.4,97.1,2004.89,1.28,-9.62,5.77,5.91,106.76
Alex Wood,1690,87.27,95.4,1910.08,3.68,9.93,4.76,6.25,125.47
Andrew Heaney,2602,88.41,96.9,2392.37,9.09,10.73,5.01,6.46,119.0
Anthony DeSclafani,1508,89.35,96.0,2100.77,7.8,-5.03,5.52,6.49,101.41
Bailey Ober,2325,86.26,94.0,2199.03,8.76,-5.39,5.83,7.25,117.96
Blake Snell,3164,90.08,98.8,2295.61,10.04,1.71,6.59,6.88,130.21
Brady Singer,2603,88.35,96.2,2293.7,5.73,-6.02,5.28,6.99,115.82
Brandon Bielak,1386,88.25,94.8,2230.69,4.64,-5.76,6.22,5.54,91.39
Brandon Pfaadt,1611,89.27,96.1,2460.03,9.3,-2.44,5.48,6.75,122.18
Brayan Bello,2617,91.22,97.7,2004.05,3.58,-11.92,5.23,6.35,109.96
Bryan Woo,1444,92.7,98.4,2169.93,9.88,-6.46,4.95,6.86,164.99
Bryce Miller,2090,91.61,98.0,2480.62,11.87,-2.26,5.64,6.25,121.01
Cal Quantrill,1707,89.46,95.9,2007.01,9.17,-6.87,6.31,6.48,112.56
Chris Bassitt,3123,85.59,96.0,2134.41,4.52,-4.14,5.63,6.31,100.74
Chris Sale,1668,86.81,99.0,2181.16,3.76,5.72,5.23,6.37,101.27
Clarke Schmidt,2704,88.9,96.8,2772.38,3.65,4.04,5.57,6.33,142.65
Cole Ragans,1571,90.69,101.0,2394.34,8.46,7.48,6.26,6.12,113.1
Cristian Javier,2857,87.21,95.4,2400.8,11.14,1.22,5.72,5.99,121.6
Dane Dunning,2689,87.01,93.9,2118.01,4.7,-6.09,5.45,6.79,102.18
Dean Kremer,2919,89.83,97.5,2271.31,9.33,-5.54,5.85,6.27,111.38
Domingo Germán,1646,87.08,94.9,2538.84,8.08,-7.95,5.54,6.07,122.22
Dylan Cease,3260,89.0,98.6,2618.77,6.95,-0.07,6.16,6.3,122.05
Eduardo Rodriguez,2362,89.8,95.5,2108.73,10.73,6.53,5.81,6.28,92.87
Framber Valdez,2920,89.57,98.4,2319.1,1.72,7.37,6.18,5.9,122.39
Gavin Williams,1386,89.57,99.3,2217.96,6.89,-3.83,5.88,7.39,132.5
George Kirby,2812,91.6,99.7,2154.64,6.39,-4.36,5.87,6.45,106.95
Gerrit Cole,3279,92.62,99.9,2431.78,9.42,-3.05,5.92,6.29,120.15
Grayson Rodriguez,2104,90.35,101.0,2223.17,8.5,-5.97,5.78,7.13,137.96
Griffin Canning,2068,90.16,97.3,2279.52,4.54,-4.53,5.82,5.96,114.05
Hunter Brown,2717,91.19,99.0,2236.69,6.01,-1.32,6.17,6.68,109.3
J.P. France,2199,86.65,96.1,2420.88,6.6,1.0,5.52,6.25,117.98
