Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Aaron Bummer,Cutter,115,87.169,90.3,2343.652,0.799,-2.97,5.223,6.458,154.705,82.112,0.487,0.202,13.04,16.52,29.56,0.176
Aaron Bummer,FourSeam,61,94.684,97.0,2353.279,11.37,11.119,5.116,6.587,94.161,84.718,0.258,0.786,32.79,9.84,42.63,1.289
Aaron Bummer,Sinker,498,94.331,97.3,1972.829,1.995,14.508,5.094,6.512,108.827,84.949,0.328,3.856,25.9,4.82,30.72,0.774
Aaron Bummer,Sweeper,418,82.534,86.1,2570.579,-2.6,-16.604,5.278,6.48,100.374,80.757,0.324,-4.637,18.9,18.66,37.56,-1.109
Aaron Civale,Curveball,486,78.101,81.2,2984.899,-15.977,10.881,6.442,5.644,131.68,82.43,0.362,-3.118,16.05,13.17,29.22,-0.642
Aaron Civale,Cutter,751,87.674,91.2,2595.899,7.674,3.747,6.383,5.677,122.868,82.887,0.37,-10.025,21.97,10.65,32.62,-1.335
Aaron Civale,FourSeam,245,91.833,94.6,2384.135,18.338,-4.989,6.341,5.682,109.382,81.909,0.426,-0.124,19.59,8.16,27.75,-0.051
Aaron Civale,Sinker,372,92.383,94.9,2270.82,12.96,-13.939,6.191,5.689,104.315,81.8,0.303,-6.585,19.89,6.45,26.34,-1.77
Aaron Civale,Slider,113,82.416,86.0,2868.142,1.829,11.671,6.309,5.739,120.716,82.546,0.235,-1.064,9.73,11.5,21.23,-0.942
Aaron Loup,Changeup,146,79.664,82.6,1903.582,-1.992,17.381,4.163,6.036,114.403,81.04,0.309,0.074,6.16,19.86,26.02,0.051
Aaron Loup,Cutter,182,83.47,86.0,2377.341,0.68,-0.799,4.518,6.14,141.126,82.318,0.43,3.021,13.19,9.34,22.53,1.66
Aaron Loup,Sinker,452,92.066,94.6,2206.33,5.114,18.901,4.568,6.146,103.715,81.711,0.395,3.736,24.56,4.87,29.43,0.827
Adam Cimber,FourSeam,151,85.258,87.4,2158.828,4.821,-11.208,2.067,6.615,151.56,82.17,0.49,6.003,13.25,7.95,21.2,3.975
Adam Cimber,Sinker,108,85.117,87.9,2075.593,-8.773,-12.321,2.023,6.595,135.966,81.182,0.26,-5.621,29.63,3.7,33.33,-5.205
Adam Cimber,Slider,104,74.799,77.5,2510.856,12.804,9.945,1.932,6.528,97.396,80.945,0.371,6.608,18.27,4.81,23.08,6.354
Adam Oller,Cutter,50,88.79,90.9,2190.24,11.914,-0.245,5.802,6.268,60.4,92.67,0.483,1.849,14.0,8.0,22.0,3.698
Adam Oller,FourSeam,186,93.688,96.0,2206.097,18.195,-9.423,5.884,6.334,114.934,84.303,0.452,7.15,12.37,4.3,16.67,3.844
