Name,Pitches,Velo,Max_Velo,SpinRate,IVB,HB,RelHeight,Extension,Stuff
A.J. Minter,1048,92.1,97.7,2368.93,9.77,3.08,5.77,6.32,138.4
A.J. Puk,945,90.68,99.2,2239.67,9.05,3.58,5.3,7.16,144.29
AJ Smith-Shawver,454,89.21,99.7,2050.8,10.28,-2.89,6.21,6.56,101.84
Aaron Nola,3074,86.98,96.3,2282.52,3.75,-4.7,5.17,6.84,116.29
Abner Uribe,518,96.23,103.3,2331.36,5.35,-6.13,6.0,6.49,174.04
Adam Ottavino,1019,87.55,95.2,2374.18,4.18,-3.01,5.32,6.95,136.69
Adam Wainwright,1712,80.78,89.9,2323.69,2.94,1.38,6.22,6.46,105.63
Adbert Alzolay,945,90.73,97.8,2428.22,8.29,-1.27,6.16,6.44,108.46
Adrian Houser,1847,89.39,96.1,2082.54,6.52,-9.06,5.88,6.85,102.57
Alan Busenitz,107,90.57,96.9,2520.68,5.66,-2.2,6.03,5.74,113.71
Alex Vesia,850,91.68,96.8,2382.91,14.36,2.11,5.69,6.44,124.0
Alex Young,869,86.6,92.6,2044.23,3.8,8.56,5.9,5.92,109.06
Alexis Díaz,1161,90.94,98.3,2598.01,7.7,-2.49,4.62,7.68,162.5
Allan Winans,534,85.19,91.7,2173.07,4.67,-7.12,5.72,6.66,92.7
Amos Willingham,461,92.04,99.3,2153.76,11.66,-2.69,6.09,6.59,102.89
Andre Jackson,1000,90.17,97.7,2110.18,9.75,-7.24,6.0,6.67,108.9
Andre Pallante,1114,91.98,98.9,2352.67,2.99,-0.66,5.94,6.51,95.99
Andrew Abbott,1889,88.1,95.3,2356.39,10.35,2.86,5.78,6.73,115.09
Andrew Bellatti,452,90.0,96.7,2469.21,9.89,-3.97,5.48,5.99,118.44
Andrew Chafin,302,89.8,94.5,2262.38,9.43,9.25,6.25,6.79,105.52
Andrew Nardi,957,90.03,98.8,2319.09,11.06,-2.58,5.91,6.83,126.29
Andrew Suárez,520,86.97,94.7,2046.97,7.69,4.42,6.28,5.75,82.18
Andrew Vasquez,651,81.13,91.1,2596.47,-1.83,-14.79,5.77,6.04,117.41
Andrés Machado,768,93.42,99.3,1989.98,9.6,-11.3,5.36,6.76,115.66
Angel Perdomo,489,90.6,98.1,2463.88,12.77,1.37,6.21,6.83,128.54
Anthony Banda,156,92.42,97.7,2064.54,10.85,10.95,5.81,6.47,91.31
Anthony Kay,229,90.63,96.9,2505.9,8.64,1.09,5.63,5.97,117.19
Antonio Senzatela,120,90.35,97.5,2082.74,10.06,-4.32,6.01,6.1,92.72
Archie Bradley,148,89.83,94.8,2039.65,9.34,-7.76,6.05,6.67,92.25
Austin Gomber,2157,85.64,93.8,2177.61,8.72,2.76,6.6,6.65,96.02
Bailey Falter,1294,85.91,94.1,1950.63,9.88,-0.24,5.73,7.37,129.87
Ben Heller,307,89.8,98.3,2153.27,4.67,-8.03,5.5,6.33,102.85
Ben Lively,1383,86.55,95.3,1952.43,8.78,-3.69,5.12,7.01,115.03
Bobby Miller,1958,92.22,101.5,2441.81,6.52,-5.27,5.98,6.89,141.31
Brad Boxberger,338,88.32,94.2,2239.19,11.85,-2.93,5.66,5.75,99.92
Brad Hand,968,86.83,95.1,2333.35,5.41,-0.74,6.1,5.8,79.51
Brandon Hughes,239,87.66,94.9,2340.56,8.51,3.32,5.49,6.5,108.25
Brandon Williamson,1937,87.92,96.0,2212.04,8.68,2.95,6.53,5.96,94.14
Brandon Woodruff,1043,91.8,98.5,2331.15,11.86,-7.97,5.83,6.69,128.38
Braxton Garrett,2464,86.36,93.0,2132.66,2.93,2.86,6.02,6.51,105.05
Brent Suter,1086,82.86,91.6,2018.25,9.65,3.45,6.29,7.24,140.81
Brett Kennedy,309,89.65,95.6,1918.17,9.83,-11.94,5.73,6.46,81.11
Brooks Raley,968,85.35,92.0,2604.73,3.58,-1.11,5.59,5.87,124.4
Brusdar Graterol,929,95.52,100.8,2178.91,7.04,-7.14,6.29,5.67,115.33
Bryan Hoeing,1115,90.08,96.4,2054.87,3.67,-10.17,6.03,6.75,129.25
Bryan Hudson,164,90.92,96.1,2251.01,11.08,3.68,5.24,7.31,158.04
Bryce Elder,2838,86.65,93.0,2160.99,4.98,-7.09,6.51,6.06,104.35
Bryse Wilson,1154,89.97,95.7,2163.83,8.44,-3.4,5.68,6.53,107.94
Buck Farmer,1221,88.84,96.1,2302.11,7.44,-5.44,5.81,6.12,101.43
Caleb Ferguson,1060,92.53,98.6,2467.51,9.43,2.33,5.73,6.31,124.52
Caleb Kilian,129,89.49,98.7,2123.81,6.5,-1.59,6.04,6.69,93.96
Carl Edwards Jr.,557,90.96,96.4,2326.49,10.51,-0.31,6.44,6.79,120.35
Carlos Carrasco,1578,88.21,95.4,2039.61,4.34,-4.25,5.79,6.54,100.09
Carmen Mlodzinski,614,91.67,98.2,2266.01,6.56,-4.45,4.99,6.56,117.09
Carson Spiers,291,88.75,95.5,2263.22,9.0,-3.73,5.25,6.52,111.18
Casey Lawrence,447,85.23,91.2,2146.8,5.54,-5.79,5.15,6.21,95.25
Casey Legumina,231,90.58,96.8,2396.09,10.83,-6.16,4.9,6.65,137.9
Chad Kuhl,767,88.38,98.7,2392.18,5.88,-2.59,5.93,6.63,119.99
Charlie Morton,2840,88.05,98.0,2629.09,1.02,-1.37,5.37,6.15,125.59
Chase Anderson,1287,88.25,96.1,2289.96,8.78,-4.19,5.85,5.89,104.22
Chase De Jong,223,85.93,94.0,2279.15,5.61,1.78,6.33,5.96,91.34
Chris Flexen,1026,87.67,94.4,2101.2,8.53,0.84,6.8,6.24,125.54
Chris Stratton,877,89.07,95.5,2732.2,7.34,2.48,5.86,6.66,123.08
Clayton Kershaw,2013,85.73,93.4,2372.77,7.19,-2.8,6.19,6.46,103.9
Cody Bolton,451,91.36,97.5,2404.48,8.09,-1.85,5.5,6.37,121.37
Colin Holderman,920,92.83,101.0,2339.49,7.29,-3.99,5.69,6.51,127.35
Colin Rea,2008,88.67,95.8,2130.99,6.68,-3.96,5.63,6.58,95.7
Colin Selby,437,91.21,99.0,2446.09,4.11,-2.32,5.86,6.53,110.55
Collin McHugh,1014,84.4,92.9,2614.27,4.31,7.76,5.31,6.67,96.01
Connor Brogdon,544,88.03,96.9,2213.17,10.43,-9.97,5.83,7.0,129.97
Connor Overton,200,86.97,92.7,2088.15,7.08,-9.19,5.93,6.17,91.35
Connor Phillips,381,91.85,98.9,2407.89,11.01,-0.26,5.74,6.36,127.93
Connor Seabold,1558,88.55,95.6,2171.84,8.28,-6.05,5.53,6.06,96.05
Corbin Burnes,3056,90.7,97.8,2616.81,6.11,2.19,5.9,6.57,127.56
Cory Abbott,702,88.36,94.4,2331.02,4.61,-3.73,5.64,6.26,117.39
Craig Kimbrel,1121,92.65,98.9,2437.33,7.28,-3.78,4.81,6.83,150.58
Cristopher Sánchez,1455,86.76,94.9,1971.85,0.88,13.74,6.07,6.9,135.26
Dakota Hudson,1316,88.63,94.7,2254.78,5.16,-4.84,6.28,6.45,102.25
Daniel Bard,921,90.91,97.4,2574.03,5.15,-2.28,5.91,6.02,109.96
Daniel Duarte,571,91.81,97.6,2395.38,9.94,-4.59,5.67,6.09,121.04
Daniel Palencia,493,95.27,101.4,2265.04,11.84,-5.76,5.42,6.95,157.05
Danny Young,135,83.63,90.4,2537.7,3.07,1.11,5.43,5.63,157.12
Darius Vines,308,85.35,92.1,2063.68,11.08,-4.06,5.99,6.36,91.7
Dauri Moreta,961,87.53,98.7,2054.61,5.73,-9.33,5.87,6.24,101.51
David Bednar,1098,90.99,99.0,2309.78,8.77,-3.92,5.87,6.55,128.39
David Peterson,1959,88.29,96.1,2105.0,6.13,7.63,6.11,7.09,129.74
David Robertson,1066,89.32,96.3,2691.49,5.91,4.34,5.76,6.69,110.62
Dennis Santana,220,90.45,98.2,2410.4,8.3,-9.19,5.69,6.18,109.98
Denyi Reyes,353,86.54,95.3,2054.16,9.55,-2.96,5.77,6.86,105.0
Derek Law,954,90.57,98.9,2252.19,7.07,-1.49,6.44,6.49,106.91
Devin Smeltzer,361,83.48,91.6,2087.88,5.28,4.51,5.91,5.8,85.89
Devin Williams,947,88.09,96.8,2533.21,5.83,-15.7,5.29,7.49,155.28
Dinelson Lamet,563,90.51,97.5,2484.72,7.52,-4.65,6.2,5.92,106.67
Dominic Leone,463,91.11,97.7,2435.98,7.86,-0.27,5.75,6.52,119.29
Drew Rom,670,86.63,93.8,2123.87,7.73,3.28,5.52,5.81,93.43
Drew Smith,1082,90.31,97.9,2515.94,11.79,-2.96,5.52,6.15,135.0
Drew Smyly,2399,84.96,95.0,2088.93,6.27,5.17,6.44,5.69,107.92
Drew VerHagen,1013,88.34,98.1,2224.47,6.16,1.64,6.39,6.4,101.95
Duane Underwood Jr.,336,89.95,96.0,1993.72,6.0,-6.45,6.15,6.39,101.3
Dustin May,721,93.91,100.2,2501.07,7.99,-6.63,5.34,6.56,139.27
Dylan Covey,734,91.86,97.3,2102.97,6.92,-4.25,6.32,6.01,103.83
Dylan Dodd,568,87.22,96.4,2052.61,11.29,6.2,6.09,6.53,89.73
Dylan Floro,657,90.03,94.8,2032.84,7.59,-10.38,6.02,6.47,129.17
Dylan Lee,388,87.06,94.3,2082.26,11.34,3.0,6.39,6.49,109.84
Eduardo Salazar,239,90.6,95.3,2050.74,4.26,-10.51,5.46,6.59,112.18
Edward Cabrera,1791,91.83,98.8,2189.04,6.34,-6.61,6.22,6.58,119.05
Elvis Peguero,912,93.25,99.4,2182.68,1.04,-6.84,5.4,6.9,169.81
Emmet Sheehan,943,91.0,98.8,2231.36,10.91,-8.46,5.35,6.65,107.99
Enmanuel De Jesus,136,88.49,95.5,2245.78,7.77,9.8,5.79,5.97,116.79
Erasmo Ramírez,409,89.16,94.5,2259.05,7.39,-5.28,5.29,6.5,98.18
Eric Lauer,842,86.71,93.8,2214.2,10.13,3.56,6.0,6.27,92.36
Eury Pérez,1533,91.06,100.1,2442.36,11.22,-4.96,5.94,6.84,146.42
Evan Justice,169,91.28,96.7,2309.17,9.44,4.46,5.29,6.28,112.81
Evan Phillips,898,90.53,98.7,2426.24,7.07,2.47,5.22,6.48,124.13
Fernando Abad,140,88.16,94.4,2120.01,9.13,8.15,6.29,5.9,135.34
Fernando Cruz,1112,87.66,97.7,1800.32,9.27,-3.18,5.94,6.78,118.41
Freddy Peralta,2839,88.79,98.7,2265.54,8.56,-3.46,5.07,6.92,136.46
Gavin Hollowell,570,89.68,98.9,2471.29,6.14,-3.16,5.18,6.88,135.58
Gavin Stone,547,90.11,96.9,1966.0,9.54,-8.19,5.55,6.56,106.0
George Soriano,865,89.1,97.9,2339.66,5.33,-2.88,5.29,6.47,108.86
Germán Márquez,300,91.95,98.7,2264.65,8.97,-6.67,6.15,5.41,110.07
Giovanny Gallegos,869,89.44,96.1,2347.03,9.84,-4.54,6.72,5.74,103.68
Graham Ashcraft,2314,93.05,100.3,2572.53,4.19,5.4,6.24,5.69,130.64
Grant Hartwig,638,90.3,96.9,2221.26,4.59,-5.66,5.01,6.08,126.64
Gregory Soto,960,94.19,101.7,2370.1,8.02,8.67,5.71,6.69,123.91
Gus Varland,403,92.31,97.5,2156.67,6.82,-4.48,5.26,6.28,117.46
Génesis Cabrera,554,90.61,98.8,2168.09,8.52,3.69,5.84,6.23,104.7
Hayden Wesneski,1453,88.51,98.7,2294.31,5.34,1.1,5.53,6.77,105.52
Hobie Harris,350,88.44,96.0,1774.08,6.42,-8.56,6.31,6.15,102.27
Hoby Milner,1000,84.26,91.3,1882.52,1.35,6.66,4.27,6.83,165.23
Huascar Brazoban,1003,91.38,99.0,2168.93,6.48,-10.54,5.74,5.96,110.12
Hunter Greene,2055,93.47,102.1,2322.24,9.92,-5.13,5.95,6.33,116.39
Hunter Harvey,958,93.91,100.8,1927.91,9.78,-5.64,5.87,6.24,126.76
Hunter Stratton,174,91.98,98.1,2666.79,9.08,4.05,6.02,6.45,125.41
Ian Gibaut,1212,91.16,98.6,2290.25,11.42,0.62,5.76,6.88,123.51
J.C. Mejía,214,91.22,97.8,2288.53,2.48,-6.22,5.5,6.46,137.17
JT Chargois,703,92.1,98.3,2414.67,5.09,-8.77,5.27,6.32,127.55
Jack Flaherty,1957,86.61,96.8,2345.11,4.74,3.82,5.43,6.78,118.12
Jackson Rutledge,346,91.58,98.1,2197.41,7.92,-10.0,6.15,6.19,92.31
Jackson Stephens,226,87.86,94.9,2273.81,4.77,-1.97,6.09,5.5,104.84
Jacob Barnes,208,91.87,96.9,2274.76,11.01,1.55,5.78,6.74,118.09
Jake Bird,1386,90.65,97.5,2271.34,-0.09,-1.18,5.27,5.76,128.86
Jake Cousins,202,87.65,96.3,2489.94,3.79,-0.92,5.41,6.96,141.7
Jake Irvin,2138,89.81,98.2,2333.34,6.45,-5.45,5.88,6.78,112.8
Jake Woodford,864,87.58,96.1,2196.95,2.6,-3.45,5.33,6.52,97.15
James Naile,308,88.11,94.4,2039.03,1.2,-1.78,5.84,6.47,158.58
Jameson Taillon,2528,88.43,95.8,2473.73,8.81,0.18,6.01,6.68,111.07
Janson Junk,110,87.75,95.8,2186.77,9.41,-0.74,5.71,6.54,89.63
Jared Shuster,862,87.14,93.5,2008.3,10.68,5.01,5.65,6.64,100.14
Javier Assad,1705,89.01,96.4,2049.19,8.54,-2.61,6.0,6.42,89.71
Javy Guerra,163,92.7,99.6,2340.79,8.9,-4.14,5.23,6.22,125.24
Jeff Brigham,677,88.18,96.2,2647.08,10.23,2.27,5.64,6.16,112.15
Jeff Hoffman,869,91.47,99.5,2511.74,5.91,-4.62,6.11,6.58,126.25
Jeremiah Estrada,237,93.75,98.0,2295.61,17.8,-2.08,5.85,6.67,165.17
Jesse Chavez,558,87.94,92.9,2151.34,8.28,-6.54,5.04,6.29,115.68
Jesús Luzardo,2983,91.57,99.3,2202.27,8.67,10.62,5.8,5.66,111.75
Jimmy Yacabonis,231,89.55,95.0,2345.13,3.81,-9.59,5.34,6.0,112.44
JoJo Romero,547,89.92,97.9,2094.41,5.84,9.03,5.52,5.54,109.43
Joan Adon,922,89.87,97.8,2217.25,6.71,-6.37,5.87,6.27,91.09
Joe Jiménez,936,91.53,97.5,2334.18,11.82,-5.14,5.83,7.11,139.84
Joe Kelly,169,95.4,101.2,2474.5,5.04,-5.63,5.32,6.19,138.19
Joe La Sorsa,445,81.8,93.7,2068.9,3.67,2.93,5.29,6.66,135.23
Joel Payamps,1117,89.71,98.0,2513.78,4.89,-2.02,5.68,5.97,113.85
Joey Lucchesi,686,86.98,92.9,2162.97,8.36,7.69,6.04,6.37,94.2
Johan Oviedo,2980,90.46,99.3,2343.23,5.85,-2.33,5.64,7.06,119.57
John Curtiss,295,90.43,96.4,2403.48,10.06,-3.29,6.12,6.43,100.63
John King,261,89.5,95.7,1963.27,1.64,14.72,5.39,5.93,118.76
Johnny Cueto,860,89.04,94.6,2044.75,10.49,-9.6,5.59,5.8,100.55
Jordan Hicks,728,96.73,104.3,2227.27,6.89,-7.25,5.98,6.54,149.97
Jordan Montgomery,1907,88.28,95.7,2150.33,7.57,8.91,6.67,6.56,107.51
