Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
A.J. Minter,Changeup,144,86.684,89.2,1636.701,5.052,15.391,5.656,6.226,91.703,76.465,0.241,-2.042,6.25,18.75,25.0,-1.418
A.J. Minter,Cutter,408,89.45,92.2,2557.939,3.006,-5.442,5.797,6.276,155.441,82.083,0.408,1.919,20.1,17.16,37.26,0.47
A.J. Minter,FourSeam,496,95.842,97.7,2426.038,16.697,6.51,5.789,6.383,137.95,81.653,0.394,-6.919,13.91,10.69,24.6,-1.395
A.J. Puk,FourSeam,485,95.846,99.2,2191.093,12.918,12.05,5.328,7.178,146.149,83.735,0.411,-0.285,23.92,13.61,37.53,-0.059
A.J. Puk,Sweeper,401,83.956,86.6,2340.9,5.009,-8.671,5.269,7.15,140.118,79.693,0.355,0.234,15.71,17.46,33.17,0.058
AJ Smith-Shawver,Curveball,55,76.785,80.3,2255.8,-13.021,8.308,6.231,6.529,104.903,90.2,0.476,2.662,12.73,7.27,20.0,4.84
AJ Smith-Shawver,FourSeam,245,94.46,99.7,2194.298,17.712,-6.596,6.265,6.542,103.447,85.036,0.308,-1.398,17.55,5.31,22.86,-0.571
AJ Smith-Shawver,Slider,106,84.926,88.2,1927.972,5.503,2.994,6.171,6.558,95.311,88.073,0.302,-0.371,5.66,11.32,16.98,-0.35
Aaron Nola,Changeup,387,85.914,89.1,1558.189,4.615,-14.757,5.003,6.807,100.399,82.261,0.368,1.588,9.82,14.21,24.03,0.41
Aaron Nola,Curveball,972,79.362,83.2,2590.777,-11.032,12.551,5.242,6.726,125.472,80.396,0.362,0.584,14.4,17.49,31.89,0.06
Aaron Nola,Cutter,230,86.324,89.3,2266.439,6.439,0.825,5.193,6.835,150.935,81.124,0.365,1.049,8.7,17.39,26.09,0.456
Aaron Nola,FourSeam,906,92.714,95.5,2304.225,15.15,-12.193,5.185,6.898,111.976,84.486,0.385,-2.152,22.3,8.83,31.13,-0.238
Aaron Nola,Sinker,579,91.778,96.3,2221.577,9.094,-17.405,5.119,6.957,104.497,85.601,0.39,2.145,25.73,3.8,29.53,0.37
Abner Uribe,Sinker,317,99.368,101.9,2173.328,6.372,-13.923,5.99,6.487,202.165,84.068,0.369,-4.488,21.45,9.15,30.6,-1.416
Abner Uribe,Slider,167,89.36,92.9,2648.251,2.045,8.623,6.02,6.495,130.723,75.064,0.109,-2.93,16.17,19.76,35.93,-1.754
Adam Kolarek,Sinker,64,88.438,91.6,2220.5,0.184,12.429,3.364,6.644,125.366,76.771,0.256,-0.359,23.44,7.81,31.25,-0.561
Adam Ottavino,Changeup,142,87.606,89.3,1780.345,1.35,-12.888,5.299,7.006,134.717,84.891,0.298,-5.984,10.56,14.08,24.64,-4.214
Adam Ottavino,Cutter,153,87.76,91.0,2668.039,4.773,5.669,5.407,6.925,164.748,83.202,0.508,2.226,15.03,15.69,30.72,1.455
Adam Ottavino,FourSeam,57,93.144,95.0,2362.474,13.56,-7.408,5.345,6.958,114.309,84.19,0.166,-3.485,19.3,21.05,40.35,-6.114
Adam Ottavino,Sinker,382,92.533,95.2,2254.228,5.017,-16.904,5.328,6.991,150.725,81.089,0.344,-2.928,29.58,5.24,34.82,-0.766
Adam Ottavino,Sweeper,285,79.598,82.9,2675.404,2.276,16.752,5.265,6.888,108.28,76.625,0.205,-1.394,17.19,8.77,25.96,-0.489
Adam Wainwright,Changeup,91,81.504,85.3,1662.527,8.856,-13.858,6.145,6.51,110.861,85.208,0.397,3.13,9.89,3.3,13.19,3.44
Adam Wainwright,Curveball,526,71.507,75.4,2647.867,-13.529,16.543,6.282,6.323,92.403,81.041,0.392,3.007,19.2,6.84,26.04,0.572
Adam Wainwright,Cutter,384,82.846,85.6,2322.32,7.639,5.582,6.286,6.492,125.911,79.511,0.354,0.894,15.62,6.51,22.13,0.233
Adam Wainwright,FourSeam,168,85.693,88.4,2158.988,14.789,-1.739,6.248,6.534,119.022,88.448,0.434,2.041,27.38,2.98,30.36,1.215
Adam Wainwright,Sinker,534,86.904,89.9,2167.581,11.198,-13.218,6.13,6.551,98.845,85.716,0.471,21.208,23.6,2.62,26.22,3.972
Adbert Alzolay,Cutter,95,91.061,92.9,2412.2,8.125,3.714,6.133,6.433,105.44,84.268,0.324,-1.799,21.05,7.37,28.42,-1.894
Adbert Alzolay,FourSeam,195,95.303,97.8,2345.554,16.664,-8.963,6.226,6.419,100.333,85.651,0.49,2.718,17.44,10.77,28.21,1.394
Adbert Alzolay,Sinker,179,95.275,97.6,2207.587,11.934,-14.893,6.219,6.436,100.078,82.888,0.304,-3.842,16.2,3.35,19.55,-2.146
Adbert Alzolay,Slider,428,87.511,90.9,2553.776,3.276,6.019,6.123,6.449,112.422,81.558,0.366,-9.755,15.42,20.79,36.21,-2.279
Adrian Houser,Changeup,73,84.301,86.3,1461.918,4.422,-14.259,5.821,6.851,119.944,79.429,0.357,0.299,5.48,8.22,13.7,0.41
Adrian Houser,Curveball,157,79.411,82.6,1974.376,-11.694,7.683,5.985,6.663,76.096,82.124,0.378,0.972,23.57,4.46,28.03,0.619
Adrian Houser,FourSeam,437,93.358,96.1,2193.474,15.52,-9.146,6.083,6.772,88.022,85.314,0.313,-1.68,11.67,10.07,21.74,-0.384
Adrian Houser,Sinker,875,92.112,94.8,2058.874,6.938,-16.804,5.797,6.887,116.206,84.137,0.375,-1.939,22.74,4.57,27.31,-0.222
Adrian Houser,Slider,305,82.25,86.9,2195.702,2.293,5.919,5.793,6.927,93.788,79.646,0.336,1.791,17.7,11.8,29.5,0.587
Adrian Morejon,FourSeam,92,95.254,97.9,2448.022,17.559,3.487,6.063,6.675,130.328,82.79,0.502,3.156,19.57,7.61,27.18,3.43
Alex Cobb,Curveball,405,83.608,86.2,2668.336,-12.947,7.826,5.825,5.766,115.932,85.09,0.425,0.697,31.85,8.64,40.49,0.172
Alex Cobb,Sinker,986,94.542,97.0,2084.749,6.965,-16.03,5.729,5.964,103.022,83.827,0.395,-4.916,26.27,4.36,30.63,-0.499
Alex Cobb,Slider,125,86.199,88.4,2623.048,-3.293,11.041,5.76,5.89,113.845,78.279,0.398,0.414,19.2,13.6,32.8,0.331
Alex Cobb,Splitter,968,89.531,92.9,1565.171,1.941,-13.087,5.794,5.926,105.411,84.204,0.374,-4.019,6.3,12.6,18.9,-0.415
Alex Vesia,FourSeam,581,94.339,96.8,2358.284,19.336,6.071,5.66,6.464,130.218,84.96,0.374,-1.608,15.49,13.43,28.92,-0.277
Alex Vesia,Slider,259,85.94,89.1,2466.525,3.362,-7.229,5.773,6.396,111.71,81.16,0.396,5.508,10.42,13.9,24.32,2.127
Alex Wood,Changeup,493,85.16,87.5,1700.586,-0.244,14.911,4.77,6.329,108.204,81.051,0.323,1.714,11.16,6.9,18.06,0.348
Alex Wood,Sinker,758,91.451,95.4,1979.855,10.112,16.387,4.834,6.219,146.925,82.197,0.346,-1.302,21.9,9.1,31.0,-0.172
Alex Wood,Slider,439,82.413,85.4,2024.847,-3.009,-6.812,4.63,6.229,107.814,81.987,0.373,6.262,18.22,11.62,29.84,1.426
Alex Young,Changeup,313,85.698,88.5,1489.575,1.362,12.035,6.052,5.949,100.57,83.661,0.358,0.902,7.03,23.32,30.35,0.288
Alex Young,Curveball,214,81.547,84.2,2349.757,0.92,-8.687,5.813,5.83,115.657,77.432,0.256,2.221,16.82,17.29,34.11,1.038
Alex Young,Sinker,314,90.526,92.4,2365.414,7.221,16.76,5.815,5.956,115.708,84.083,0.366,4.499,19.75,5.41,25.16,1.433
Alexis Díaz,FourSeam,564,94.545,98.3,2546.718,13.323,-9.445,4.583,7.696,188.214,83.683,0.352,5.646,13.83,10.82,24.65,1.001
Alexis Díaz,Slider,597,87.536,91.4,2646.472,2.391,4.077,4.653,7.657,138.214,83.037,0.294,-16.393,11.73,18.76,30.49,-2.746
Allan Winans,Changeup,148,82.92,85.3,1846.324,2.28,-14.741,5.702,6.593,108.034,78.402,0.367,-5.048,8.11,18.24,26.35,-3.411
Allan Winans,FourSeam,120,89.989,91.3,2173.25,13.835,-9.926,5.807,6.79,74.49,85.014,0.498,1.046,27.5,3.33,30.83,0.872
Allan Winans,Sinker,135,89.647,91.7,2122.163,7.199,-16.412,5.727,6.753,84.851,86.693,0.388,1.703,30.37,4.44,34.81,1.261
Allan Winans,Slider,131,78.781,81.3,2594.496,-3.614,13.647,5.667,6.505,100.128,83.245,0.361,4.095,18.32,16.03,34.35,3.126
Amos Willingham,FourSeam,280,95.833,99.3,2236.05,16.843,-8.343,6.152,6.576,104.94,86.414,0.43,3.651,20.36,3.57,23.93,1.304
Amos Willingham,Slider,161,85.561,90.2,2039.571,2.491,8.465,5.984,6.595,98.888,81.879,0.424,-0.228,9.32,21.12,30.44,-0.142
Andre Jackson,Changeup,319,86.948,89.4,1766.455,7.668,-13.57,5.983,6.586,100.245,83.843,0.477,7.123,10.34,17.55,27.89,2.233
Andre Jackson,Curveball,65,81.486,84.6,2230.523,-15.783,6.508,5.877,6.552,107.584,79.01,0.179,-1.004,9.23,15.38,24.61,-1.545
Andre Jackson,FourSeam,446,94.898,97.7,2268.087,17.039,-8.92,6.063,6.711,105.966,84.491,0.38,-5.064,21.08,6.05,27.13,-1.135
Andre Jackson,Slider,170,87.142,89.8,2294.906,4.278,3.807,5.891,6.778,133.349,84.002,0.435,-1.739,20.0,7.65,27.65,-1.023
Andre Pallante,Curveball,152,76.888,80.6,2884.895,-19.764,5.865,5.935,6.494,142.713,76.3,0.422,5.049,9.21,9.87,19.08,3.322
Andre Pallante,FourSeam,739,96.061,98.7,2235.286,8.88,-2.848,5.964,6.485,80.93,85.552,0.266,-18.993,17.19,5.68,22.87,-2.57
Andre Pallante,Slider,193,87.599,94.1,2415.404,-3.002,4.14,5.872,6.607,113.724,81.112,0.439,8.84,11.92,12.44,24.36,4.58
Andrew Abbott,Changeup,310,86.637,89.0,2065.965,10.735,14.575,5.764,6.748,106.149,79.23,0.327,-2.275,9.68,16.77,26.45,-0.734
Andrew Abbott,Curveball,321,80.863,83.7,2796.894,-3.327,-8.727,5.906,6.654,135.346,86.329,0.35,6.553,20.56,9.66,30.22,2.041
Andrew Abbott,FourSeam,946,92.725,95.3,2207.434,16.285,7.749,5.763,6.737,97.64,83.508,0.439,-5.392,17.97,8.35,26.32,-0.57
Andrew Abbott,Sweeper,311,82.949,85.9,2645.074,6.04,-11.723,5.729,6.756,156.193,78.343,0.222,-3.556,11.9,14.15,26.05,-1.143
Andrew Bellatti,FourSeam,215,94.077,96.7,2508.972,16.313,-9.921,5.459,5.995,126.731,85.734,0.369,-5.564,20.93,11.16,32.09,-2.588
Andrew Bellatti,Slider,212,86.033,88.7,2512.175,4.06,3.619,5.508,5.959,112.556,85.803,0.438,8.498,8.96,20.28,29.24,4.008
Andrew Chafin,FourSeam,185,92.163,94.1,2166.411,15.773,9.114,6.386,6.779,81.112,85.78,0.506,1.962,28.65,2.7,31.35,1.061
Andrew Chafin,Sinker,404,92.242,95.3,2148.443,12.051,15.293,6.377,6.756,99.55,80.063,0.345,1.448,19.8,8.17,27.97,0.358
Andrew Chafin,Slider,323,83.503,87.1,2527.238,-0.826,-0.37,6.207,6.684,127.305,78.06,0.435,-1.183,7.43,25.08,32.51,-0.366
Andrew Nardi,FourSeam,586,94.556,98.8,2276.357,16.569,4.618,5.947,6.819,124.911,79.784,0.309,-9.072,14.85,12.63,27.48,-1.548
Andrew Nardi,Slider,362,82.702,86.1,2401.829,2.177,-14.7,5.861,6.837,128.829,78.886,0.339,-3.395,15.75,15.47,31.22,-0.938
Andrew Saalfrank,Curveball,58,83.762,85.9,2166.293,-8.096,-5.561,6.179,6.107,107.211,79.281,0.374,-0.118,6.9,15.52,22.42,-0.203
Andrew Saalfrank,Sinker,98,92.384,94.8,2096.643,6.264,12.373,6.181,6.003,87.021,83.669,0.276,-3.398,13.27,14.29,27.56,-3.467
Andrew Suárez,Changeup,95,83.636,85.8,1923.463,12.534,14.07,6.172,5.682,113.206,79.373,0.261,1.589,5.26,14.74,20.0,1.673
Andrew Suárez,Curveball,57,74.472,76.4,2281.754,-10.238,-9.92,6.352,5.772,72.608,76.671,0.476,0.897,24.56,3.51,28.07,1.574
Andrew Suárez,FourSeam,236,92.339,94.7,1895.034,14.526,7.806,6.297,5.765,63.888,85.883,0.351,6.231,18.64,5.08,23.72,2.64
Andrew Suárez,Slider,119,84.48,87.5,2352.143,-1.816,-3.989,6.281,5.76,93.267,82.444,0.36,-0.217,16.81,15.13,31.94,-0.182
Andrew Vasquez,Slider,537,80.605,83.7,2650.214,-3.735,-18.163,5.931,6.05,113.931,79.769,0.285,-9.257,26.26,8.38,34.64,-1.724
Andrés Machado,Changeup,213,89.726,92.2,1715.441,4.834,-14.365,5.254,6.838,109.583,78.694,0.362,-5.616,9.39,13.15,22.54,-2.637
Andrés Machado,FourSeam,223,96.615,99.3,2120.108,15.621,-9.862,5.47,6.729,120.092,84.429,0.537,3.895,12.56,11.66,24.22,1.747
Andrés Machado,Sinker,230,95.96,98.0,2109.317,10.091,-16.776,5.315,6.74,119.353,81.109,0.463,4.296,21.74,9.13,30.87,1.868
Andrés Machado,Slider,102,88.436,91.6,2009.657,5.269,4.331,5.412,6.717,110.354,80.351,0.278,-0.223,14.71,8.82,23.53,-0.219
Angel Perdomo,FourSeam,302,94.02,98.1,2441.841,17.311,3.577,6.2,6.866,127.31,79.744,0.428,-1.996,21.19,14.57,35.76,-0.661
Angel Perdomo,Slider,153,83.858,88.0,2575.582,4.608,-6.163,6.256,6.75,130.609,78.687,0.205,-2.769,14.38,12.42,26.8,-1.81
Anthony Banda,FourSeam,93,95.266,97.7,2133.344,14.404,12.037,5.846,6.463,80.29,80.963,0.428,1.115,16.13,11.83,27.96,1.199
Anthony DeSclafani,Changeup,149,86.448,90.5,1577.409,3.519,-15.547,5.314,6.588,101.72,83.411,0.395,4.276,12.75,4.7,17.45,2.87
Anthony DeSclafani,Curveball,79,82.238,85.0,2075.304,-5.444,9.75,5.41,6.562,113.551,81.52,0.347,0.727,3.8,12.66,16.46,0.92
Anthony DeSclafani,FourSeam,188,93.226,95.3,2259.963,15.763,-10.287,5.616,6.456,93.184,82.192,0.402,5.17,12.77,4.26,17.03,2.75
Anthony DeSclafani,Sinker,421,93.109,96.0,2127.43,10.337,-16.054,5.597,6.508,103.081,85.245,0.479,5.241,21.38,3.8,25.18,1.245
Anthony DeSclafani,Slider,671,87.396,91.2,2158.659,6.477,3.957,5.493,6.459,101.158,82.933,0.36,-6.526,18.93,12.82,31.75,-0.973
Anthony Kay,FourSeam,123,94.539,96.9,2463.008,14.855,6.795,5.697,5.971,123.603,83.93,0.406,2.562,8.13,7.32,15.45,2.083
Anthony Kay,Slider,66,88.297,91.6,2602.288,1.095,-3.582,5.612,5.962,119.919,80.575,0.421,1.834,12.12,7.58,19.7,2.779
Anthony Misiewicz,FourSeam,57,92.94,94.3,2149.386,15.651,7.404,6.038,6.049,90.377,89.361,0.349,-1.232,22.81,5.26,28.07,-2.161
Antonio Senzatela,FourSeam,52,94.427,97.5,2104.519,14.047,-6.517,6.011,6.135,85.26,82.967,0.693,2.137,15.38,9.62,25.0,4.11
Archie Bradley,FourSeam,66,93.047,94.8,2154.773,15.856,-8.391,6.018,6.603,84.308,88.756,0.637,3.299,28.79,4.55,33.34,4.998
Austin Adams,Slider,324,88.076,90.8,2934.176,-0.441,7.16,5.232,5.856,136.861,77.724,0.281,-4.099,17.9,13.58,31.48,-1.265
Austin Gomber,Changeup,390,81.63,84.3,1641.964,10.399,9.541,6.451,6.772,113.78,82.469,0.338,0.974,14.62,9.74,24.36,0.25
Austin Gomber,Curveball,362,77.59,81.0,2521.047,-11.055,-7.627,6.572,6.557,95.517,81.626,0.39,2.972,14.09,11.6,25.69,0.821
Austin Gomber,FourSeam,947,90.59,93.8,2169.767,17.109,7.08,6.667,6.629,79.569,85.972,0.436,18.915,19.96,4.01,23.97,1.997
Austin Gomber,Slider,431,84.831,88.6,2393.81,4.781,-4.732,6.594,6.654,114.467,82.84,0.332,-1.049,12.3,12.53,24.83,-0.243
Bailey Falter,Changeup,88,84.765,87.9,1490.284,14.757,7.132,5.702,7.477,135.189,83.391,0.376,-0.446,10.23,10.23,20.46,-0.507
Bailey Falter,Curveball,292,76.483,80.1,1993.349,-7.345,-6.014,5.709,7.205,125.886,83.153,0.448,7.684,17.47,8.56,26.03,2.632
Bailey Falter,FourSeam,571,90.706,93.9,2029.338,18.078,1.411,5.769,7.424,127.06,82.571,0.343,3.145,17.51,6.83,24.34,0.551
Bailey Falter,Sinker,99,90.741,94.1,1841.667,16.858,7.572,5.697,7.475,199.298,84.431,0.434,1.254,23.23,5.05,28.28,1.267
Bailey Falter,Slider,244,84.435,87.4,1925.541,6.713,-3.024,5.684,7.334,111.113,83.382,0.388,2.72,11.07,9.84,20.91,1.115
Ben Heller,Cutter,90,89.427,93.0,2231.333,7.016,-1.644,5.529,6.309,96.015,83.506,0.265,-2.853,15.56,12.22,27.78,-3.17
Ben Heller,Sinker,137,94.915,98.3,2180.693,5.168,-17.502,5.53,6.326,112.71,86.032,0.33,-1.512,25.55,5.84,31.39,-1.104
Ben Lively,Changeup,141,84.361,86.6,1657.099,7.132,-15.429,5.144,7.043,116.266,83.1,0.306,1.575,14.89,4.96,19.85,1.117
Ben Lively,Curveball,99,76.37,79.6,1971.515,-5.354,9.545,5.314,6.833,81.55,82.962,0.541,3.206,25.25,5.05,30.3,3.238
Ben Lively,Cutter,70,87.906,90.8,1982.6,10.819,-0.393,5.126,7.037,113.623,78.062,0.393,-0.596,4.29,11.43,15.72,-0.851
Ben Lively,FourSeam,445,90.62,94.7,2004.045,14.621,-6.859,5.189,7.004,99.105,85.118,0.445,10.836,18.43,7.19,25.62,2.435
Ben Lively,Sinker,303,91.507,95.3,1958.389,10.595,-14.083,5.072,7.106,153.051,82.155,0.355,-3.311,21.78,6.27,28.05,-1.093
Ben Lively,Slider,325,80.127,83.9,1992.034,3.652,10.669,5.015,6.963,111.361,82.549,0.384,-5.404,18.46,13.85,32.31,-1.663
Blake Snell,Changeup,584,86.734,90.0,1795.582,10.984,12.802,6.449,6.97,119.822,75.211,0.271,-12.755,13.01,24.32,37.33,-2.184
Blake Snell,Curveball,626,80.977,84.9,2398.634,-10.395,-12.581,6.629,6.794,124.345,78.26,0.336,-21.485,12.46,23.64,36.1,-3.432
Blake Snell,FourSeam,1538,95.511,98.8,2430.183,18.79,4.587,6.623,6.885,139.931,83.196,0.428,-4.925,20.48,6.96,27.44,-0.32
Blake Snell,Slider,416,88.364,91.3,2344.986,7.097,-2.977,6.631,6.843,117.681,81.939,0.366,-4.23,5.05,20.91,25.96,-1.017
Bobby Miller,Changeup,314,88.201,92.0,2289.873,8.93,-17.354,5.901,6.867,140.486,79.084,0.272,-2.561,10.83,17.2,28.03,-0.816
Bobby Miller,Curveball,362,80.642,85.7,2811.541,-13.897,9.381,6.098,6.865,125.761,80.576,0.349,-4.297,21.55,13.26,34.81,-1.187
Bobby Miller,FourSeam,556,99.058,101.5,2341.838,16.632,-8.415,6.039,6.905,146.049,84.639,0.35,-4.166,17.81,8.27,26.08,-0.749
Bobby Miller,Sinker,387,98.747,100.9,2297.24,13.997,-13.722,5.892,6.821,164.424,83.455,0.332,-6.616,20.41,7.75,28.16,-1.71
Bobby Miller,Slider,325,89.847,96.3,2509.022,0.935,4.7,5.959,6.982,123.417,82.532,0.369,1.32,11.38,13.23,24.61,0.406
Brad Boxberger,FourSeam,184,91.089,94.2,2347.424,16.709,-6.082,5.665,5.752,106.428,86.012,0.371,2.386,26.09,3.8,29.89,1.297
