Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Marcus Semien,TEX,2B,33,34,143,24,37,8,1,5,22,1,0,11,22,0,0,0,.259,.312,.434,.746
Bryan De La Cruz,MIA,OF,27,35,141,17,37,8,0,6,18,1,0,9,38,0,1,0,.262,.305,.447,.752
Jarren Duran,BOS,OF,27,34,140,20,36,6,4,1,15,9,1,15,34,0,1,2,.257,.335,.379,.714
Fernando Tatis,SD,OF,25,36,139,26,34,5,1,7,20,4,1,16,33,0,1,2,.245,.329,.446,.775
Xander Bogaerts,SD,SS,31,34,139,19,30,5,0,2,11,2,0,12,29,0,0,0,.216,.278,.295,.573
Mookie Betts,LAD,OF,31,35,139,30,50,10,2,6,27,8,0,27,16,0,0,0,.360,.464,.590,1.054
Shohei Ohtani,LAD,DH,29,34,139,28,48,14,1,8,22,7,0,17,30,0,2,0,.345,.411,.633,1.044
Trea Turner,PHI,SS,30,33,137,27,47,10,0,2,9,10,1,9,28,0,0,2,.343,.392,.460,.852
Luis Arraez,MIA,2B,27,33,137,22,41,8,1,0,5,0,0,8,11,1,0,2,.299,.347,.372,.719
Jose Altuve,HOU,2B,33,33,136,24,46,9,0,7,12,7,1,13,22,0,0,1,.338,.400,.559,.959
Teoscar Hernandez,LAD,OF,31,35,135,22,34,6,0,7,23,3,1,13,48,0,0,1,.252,.322,.452,.774
Adley Rutschman,BAL,C,26,32,134,20,43,5,0,5,20,0,0,8,24,0,1,1,.321,.361,.470,.831
Bobby Witt,KC,SS,23,34,134,29,42,9,4,4,19,11,4,10,28,0,1,2,.313,.367,.530,.897
Maikel Garcia,KC,3B,24,33,133,16,32,6,1,4,20,8,0,10,26,1,2,0,.241,.290,.391,.681
Steven Kwan,CLE,OF,26,32,133,28,47,6,2,3,11,3,3,11,11,0,0,1,.353,.407,.496,.903
Ketel Marte,ARI,2B,30,34,133,24,41,12,0,5,15,1,0,13,27,0,4,0,.308,.360,.511,.871
Anthony Rizzo,NYY,1B,34,35,133,16,35,4,0,6,20,0,0,9,31,0,0,4,.263,.329,.429,.758
Lourdes Gurriel,ARI,OF,30,31,133,19,32,6,0,5,22,2,0,8,22,0,0,0,.241,.284,.398,.682
Juan Soto,NYY,OF,25,35,132,23,42,6,1,8,25,4,2,26,21,0,2,0,.318,.425,.561,.986
Taylor Ward,LAA,OF,30,33,132,19,37,6,0,7,24,2,3,7,32,0,2,0,.280,.312,.485,.797
Bryan Reynolds,PIT,OF,29,34,132,12,31,6,0,4,17,2,0,21,30,0,0,0,.235,.340,.371,.711
Yandy Diaz,TB,1B,32,33,132,12,30,5,0,1,13,0,0,10,22,0,1,2,.227,.290,.288,.578
Jose Ramirez,CLE,3B,31,32,132,20,30,5,1,5,25,4,1,8,16,0,2,1,.227,.273,.394,.667
