Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Tyler Glasnow,LAD,30,8,8,0,0,50.0,33,15,63,13,4,6,1,0,0,0,2.70,0.92
Logan Gilbert,SEA,26,7,7,0,0,48.0,25,9,50,13,5,3,0,0,0,0,1.69,0.79
Ranger Suarez,PHI,28,7,7,1,1,47.0,28,9,46,6,4,6,0,0,0,0,1.72,0.72
Tanner Houck,BOS,27,7,7,1,1,45.1,37,11,46,7,1,3,3,0,0,0,2.18,0.97
Seth Lugo,KC,34,7,7,0,0,45.0,35,8,31,11,3,5,1,0,0,0,1.60,1.02
Jose Berrios,TOR,29,7,7,1,0,43.2,31,7,31,13,4,4,2,0,0,0,1.44,1.01
Aaron Nola,PHI,30,7,7,0,0,43.1,35,16,40,15,7,4,1,0,0,0,3.32,1.15
Zack Wheeler,PHI,33,7,7,0,0,42.1,27,9,52,12,3,3,3,0,0,0,1.91,0.92
Dylan Cease,SD,28,7,7,0,0,42.1,20,12,48,14,2,4,2,0,0,0,2.55,0.80
Logan Webb,SF,27,7,7,0,0,42.1,45,14,30,10,1,3,2,0,0,0,2.98,1.30
Nestor Cortes,NYY,29,7,7,0,0,42.0,39,18,37,7,5,1,3,0,0,0,3.86,1.10
Paul Blackburn,OAK,30,7,7,0,0,42.0,33,14,31,10,5,3,1,0,0,0,3.00,1.02
Michael King,SD,28,8,7,0,0,42.0,38,20,43,21,10,3,3,0,0,0,4.29,1.40
Luis Castillo,SEA,31,7,7,0,0,41.2,41,16,49,8,5,3,4,0,0,0,3.46,1.18
Nathan Eovaldi,TEX,34,7,7,0,0,41.1,29,12,44,19,3,2,2,0,0,0,2.61,1.16
Corbin Burnes,BAL,29,7,7,0,0,41.1,29,12,41,9,6,3,1,0,0,0,2.61,0.92
Brandon Pfaadt,ARI,25,7,7,0,0,41.0,43,21,42,6,5,1,2,0,0,0,4.61,1.20
Jared Jones,PIT,22,7,7,0,0,41.0,27,12,52,5,7,2,3,0,0,0,2.63,0.78
Joe Musgrove,SD,31,8,8,0,0,41.0,49,29,36,13,10,3,3,0,0,0,6.37,1.51
Zach Eflin,TB,30,7,7,0,0,41.0,44,19,36,4,6,1,4,0,0,0,4.17,1.17
Ross Stripling,OAK,34,7,7,0,0,40.1,46,19,27,8,3,1,5,0,0,0,4.24,1.34
Kutter Crawford,BOS,28,7,7,0,0,40.1,30,7,40,13,1,2,1,0,0,0,1.56,1.07
Reid Detmers,LAA,24,7,7,0,0,40.1,35,19,44,14,5,3,3,0,0,0,4.24,1.21
Brady Singer,KC,27,7,7,0,0,40.1,26,11,42,13,4,2,1,0,0,0,2.45,0.97
Hunter Greene,CIN,24,7,7,0,0,40.1,31,14,47,16,2,1,2,0,0,0,3.12,1.17
Martin Perez,PIT,33,7,7,0,0,40.0,42,14,31,13,2,1,2,0,0,0,3.15,1.38
Mitch Keller,PIT,28,7,7,0,0,40.0,44,23,39,15,5,2,3,0,0,0,5.18,1.48
Cal Quantrill,COL,29,7,7,0,0,39.2,37,19,26,14,6,1,3,0,0,0,4.31,1.29
Yusei Kikuchi,TOR,32,7,7,0,0,39.2,37,12,43,9,2,2,2,0,0,0,2.72,1.16
JP Sears,OAK,28,7,7,0,0,39.1,30,17,30,12,5,2,2,0,0,0,3.89,1.07
Erick Fedde,CWS,31,7,7,0,0,39.0,32,15,41,14,7,2,0,0,0,0,3.46,1.18
Zack Littell,TB,28,7,7,0,0,39.0,46,13,42,5,3,1,2,0,0,0,3.00,1.31
Ronel Blanco,HOU,30,6,6,1,1,38.2,21,9,36,16,4,3,0,0,0,0,2.09,0.96
Jake Irvin,WSH,27,7,7,0,0,38.2,38,16,30,8,3,2,3,0,0,0,3.72,1.19
George Kirby,SEA,26,7,7,0,0,38.1,36,16,41,4,2,3,2,0,0,0,3.76,1.04
Jordan Hicks,SF,27,7,7,0,0,38.0,25,8,30,14,1,2,1,0,0,0,1.89,1.03
Andrew Abbott,CIN,24,7,7,0,0,38.0,33,14,35,11,7,1,4,0,0,0,3.32,1.16
Kyle Harrison,SF,22,7,7,0,0,38.0,39,16,38,10,5,2,1,0,0,0,3.79,1.29
Austin Gomber,COL,30,7,7,0,0,38.0,36,16,25,13,7,0,2,0,0,0,3.79,1.29
Kyle Gibson,STL,36,6,6,0,0,38.0,29,16,29,14,6,2,2,0,0,0,3.79,1.13
Miles Mikolas,STL,35,7,7,0,0,38.0,46,24,29,7,7,2,4,0,0,0,5.68,1.39
Patrick Corbin,WSH,34,7,7,0,0,37.2,53,27,25,15,4,0,3,0,0,0,6.45,1.81
Michael Wacha,KC,32,7,7,0,0,37.2,45,23,31,10,4,1,4,0,0,0,5.50,1.46
Pablo Lopez,MIN,28,7,7,0,0,37.2,31,18,45,8,6,3,2,0,0,0,4.30,1.04
